entity_code,entity_name,facility_name,period_key,revenue,cogs,gross_profit,gross_margin_pct,opex,ebitda,ebit,ebitda_margin_pct,da,interest_expense,monthly_debt_service,dscr,covenant_min_dscr,dscr_headroom,covenant_health_status,rolling_3m_ebitda,ttm_revenue,ttm_ebitda,pop_revenue_growth_pct
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-01,3537019.75,1627029.09,1909990.66,54.0,806610.0,1103380.66,983380.66,31.2,120000.0,312500.0,712500.0,1.549,1.25,0.299,HEALTHY,1103380.66,3537019.75,1103380.66,0.0
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-02,3656480.97,1681981.25,1974499.72,54.0,808220.0,1166279.72,1046279.72,31.9,120000.0,310000.0,710000.0,1.643,1.25,0.393,HEALTHY,1134830.19,7193500.72,2269660.38,3.38
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-03,3695396.82,1699882.54,1995514.28,54.0,809830.0,1185684.28,1065684.28,32.09,120000.0,307500.0,707500.0,1.676,1.25,0.426,HEALTHY,1151781.55,10888897.54,3455344.66,1.06
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-04,3682215.04,1693818.92,1988396.12,54.0,811440.0,1176956.12,1056956.12,31.96,120000.0,305000.0,705000.0,1.669,1.25,0.419,HEALTHY,1176306.71,14571112.58,4632300.78,-0.36
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-05,3703704.99,1703704.3,2000000.69,54.0,813050.0,1186950.69,1066950.69,32.05,120000.0,302500.0,702500.0,1.69,1.25,0.44,HEALTHY,1183197.03,18274817.57,5819251.47,0.58
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-06,3737939.7,1719452.26,2018487.44,54.0,814660.0,1203827.44,1083827.44,32.21,120000.0,300000.0,700000.0,1.72,1.25,0.47,HEALTHY,1189244.75,22012757.27,7023078.91,0.92
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-07,3686509.83,1695794.52,1990715.31,54.0,816270.0,1174445.31,1054445.31,31.86,120000.0,297500.0,697500.0,1.684,1.25,0.434,HEALTHY,1188407.81,25699267.1,8197524.22,-1.38
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-08,3597649.21,1654918.64,1942730.57,54.0,817880.0,1124850.57,1004850.57,31.27,120000.0,295000.0,695000.0,1.618,1.25,0.368,HEALTHY,1167707.77,29296916.31,9322374.79,-2.41
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-09,3504197.54,1611930.87,1892266.67,54.0,819490.0,1072776.67,952776.67,30.61,120000.0,292500.0,692500.0,1.549,1.25,0.299,HEALTHY,1124024.18,32801113.85,10395151.46,-2.6
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-10,3537366.65,1627188.66,1910177.99,54.0,821100.0,1089077.99,969077.99,30.79,120000.0,290000.0,690000.0,1.578,1.25,0.328,HEALTHY,1095568.41,36338480.5,11484229.45,0.95
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-11,3561250.12,1638175.05,1923075.07,54.0,822710.0,1100365.07,980365.07,30.9,120000.0,287500.0,687500.0,1.601,1.25,0.351,HEALTHY,1087406.58,39899730.62,12584594.52,0.68
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2024-12,3558420.88,1636873.6,1921547.28,54.0,824320.0,1097227.28,977227.28,30.83,120000.0,285000.0,685000.0,1.602,1.25,0.352,HEALTHY,1095556.78,43458151.5,13681821.8,-0.08
DURA_US,DuraCorp Industrial Systems,Senior Secured Term Loan A,2025-01,3746495.82,1723388.08,2023107.74,54.0,825930.0,1197177.74,1077177.74,31.95,120000.0,282500.0,682500.0,1.754,1.25,0.504,HEALTHY,1131590.03,43667627.57,13775618.88,5.29
